id,label,reason,content
harv_ev_nad_avadim_health_theraworx_claims_2020_a64c7d_3148,assessable_claim,This is a self-contained advertising claim about the recommendation of a product by professionals.,Healthcare Professionals Recommend Theraworx
harv_ev_narb_narb_recommends_reckitt_benckiser_discontinue_advert_2016_7a0c6d_1634,fragment,This is a fragment. 'approved to kill' needs to specify what is approved and what it kills to be a complete claim.,approved to kill … more types of germs
harv_ev_dssrc_limbic_arc_performance_earnings_claims_2021_0d8d93_3385,fragment,This is a fragment. 'Passive income & a healthy future together amazing' is grammatically incomplete and lacks a clear subject or verb to form a coherent claim.,Passive income & a healthy future together amazing
harv_ev_nad_nad_recommends_microgreen_polymers_discontinue_chall_2015_694c77_0729,not_a_claim,"This is a narrative statement, likely part of a story or explanation, not a direct advertising claim about a product's benefit or feature.",I used to be a water bottle
harv_ev_nad_nad_refers_advertising_claims_for_cross_brands_sea_s_2018_8b7c07_0045,assessable_claim,This is a self-contained advertising claim about the protective qualities of a product.,INFRARED sunscreen protection for your skin from free radical damage caused by long term exposure to IR-A waves
harv_ev_nad_nad_recommends_kauai_coffee_modify_discontinue_certa_2017_07b4ad_0421,assessable_claim,"This is a self-contained advertising claim that a compliance reviewer could assess for truthfulness and substantiation. 'Don't trash the Earth with your coffee' implies an environmental benefit, and 'BREW & RENEW' reinforces this idea.",Don’t trash the Earth with your coffee. BREW & RENEW
harv_ev_nad_march_fast_track_swift_cases_2022_67ef8b_3079,fragment,This is a fragment. 'biggest game of the year' is incomplete without knowing what 'game' it refers to. It's a superlative that needs context to be assessable.,biggest game of the year
harv_ev_nad_nad_recommends_central_coast_nutraceuticals_modify_d_2009_453719_0095,assessable_claim,"This is a self-contained advertising claim. 'Cleanse your entire system' is a specific, assessable claim about a product's effect.",Cleanse your entire system
harv_ev_nad_nad_recommend_discover_modify_chart_of_comparative_c_2017_1f0437_1526,assessable_claim,"This is a self-contained advertising claim. 'Compare credit cards and see how Discover stacks up' is an invitation to compare with an implied positive outcome for Discover, which is assessable.",Compare credit cards and see how Discover stacks up
harv_ev_nad_nad_recommends_charter_discontinue_one_version_of_mo_2018_be3be9_0995,assessable_claim,"This is a self-contained advertising claim. 'TV that cuts out in the rain is evil. Spectrum is reliable. Satellite TV Bad. Spectrum Good' contains clear, assessable claims about the reliability of Spectrum TV compared to satellite TV.",TV that cuts out in the rain is evil. Spectrum is reliable. Satellite TV Bad. Spectrum Good
harv_ev_narb_narb_recommends_goya_discontinue_claim_that_excelsio_2019_c581c9_0941,assessable_claim,This is a self-contained advertising claim. 'La pasta favorita de Puerto Rico' (The favorite pasta of Puerto Rico) is a superlative claim about popularity that can be assessed.,La pasta favorita de Puerto Rico
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0075,fragment,"This is a fragment. 'gentle on the planet' is an environmental claim, but it's incomplete without knowing what product or action is gentle on the planet. It needs context to be assessable.",gentle on the planet
harv_ev_nad_verizon_rootmetrics_claims_2019_750af6_0052,assessable_claim,"This is a self-contained advertising claim. 'most reliable 4G LTE network' is a clear, comparative claim that can be assessed for substantiation.",most reliable 4G LTE network
harv_ev_narb_narb_recommends_directv_better_disclose_to_consumers_2016_56ac98_1445,assessable_claim,This is a self-contained advertising claim. 'Say goodbye to messy cable wires and boxes. Enjoy entertainment wirelessly on every TV in your home' makes specific claims about convenience and wireless capability that are assessable.,Say goodbye to messy cable wires and boxes. Enjoy entertainment wirelessly on every TV in your home
harv_ev_nad_nad_recommends_mega_t_discontinue_burns_fat_claim_co_2016_3b9cd4_2561,assessable_claim,"This is a self-contained advertising claim. 'Garcina Cambogia Reduces food cravings and increases metabolism' makes specific, assessable claims about the effects of a product.",Garcina Cambogia Reduces food cravings and increases metabolism
harv_ev_nad_shark_air_purifiers_2022_b8f8cf_2803,assessable_claim,"This is a self-contained advertising claim. 'Capture 99.98% of large, small, & micro-size particles' is a specific, quantifiable claim about product performance that is assessable.","Capture 99.98% of large, small, & micro-size particles"
harv_ev_caag_cri_genetics_2024_0577,not_a_claim,"This appears to be descriptive or procedural text from a legal document, not an advertising claim. 'sampled DNA tests from 12 different companies' describes an action or finding, not a promise to consumers.",sampled DNA tests from 12 different companies
harv_ev_ftc_opendoor_ibuying_2022_0441,fragment,"This is a fragment. 'local real estate experts' is a descriptive phrase, but without knowing who or what is being described as such, it's not a self-contained claim. It needs context to be assessable as an advertising claim.",local real estate experts
harv_ev_nad_nad_recommends_microgreen_polymers_discontinue_chall_2015_694c77_0730,assessable_claim,"This is a self-contained advertising claim. 'Please recycle this InCycle cup' implies the cup is recyclable, which is an assessable claim about its environmental properties.",Please recycle this InCycle cup
harv_ev_nad_nad_abbott_claims_2011_40ce70_1538,assessable_claim,"This is a self-contained advertising claim. 'Protects muscles by strengthening the muscle cell wall' is a specific, assessable claim about a product's physiological effect.",Protects muscles by strengthening the muscle cell wall
harv_ev_caru_moose_toys_fail_fix_dolls_2022_ac39b0_3467,not_a_claim,"This appears to be dialogue or narrative from an ad, not a direct advertising claim about a product's features or benefits. It expresses a sentiment, not a promise.",Nope. No way. Nuh-uh. I can’t be seen like this!
harv_ev_nad_nad_recommends_modification_to_huggies_little_snuggl_2020_f6b309_0445,assessable_claim,"This is a self-contained advertising claim. 'better leakage protection* *Size 1 urine leakage' is a comparative claim about product performance, with a specific qualifier, making it assessable.",better leakage protection* *Size 1 urine leakage
harv_ev_nad_nad_finds_santica_can_support_certain_claims_for_cel_2009_ca68d0_0220,assessable_claim,"This is a self-contained advertising claim. 'CelluScience can produce results without any changes in diet, exercise or life style' makes a specific, assessable claim about the product's efficacy independent of other factors.","CelluScience can produce results without any changes in diet, exercise or life style"
harv_ev_nad_nad_recommends_reynolds_modify_certain_advertising_c_2012_07a293_2147,fragment,"This is a fragment. 'SECURE . . . FOR MANY USES' is incomplete. 'Secure' needs to specify what is secure, and 'for many uses' needs to specify what product or feature is being described. It lacks context to be assessable.",SECURE . . . FOR MANY USES
harv_ev_nad_national_advertising_review_board_recommends_philoso_2015_e5b947_0483,fragment,This is a fragment. 'inside: aging not yet visible on the surface' is incomplete. It's unclear what 'inside' refers to or what product is making this claim. It needs context to be assessable.,inside: aging not yet visible on the surface
harv_ev_nad_charter_communications_internet_2023_ec95d2_2845,assessable_claim,"This is a self-contained advertising claim. 'Ultra fast speeds of 400 Mbps' is a specific, quantifiable claim about internet speed that is assessable.",Ultra fast speeds of 400 Mbps
harv_ev_nad_nad_examines_pricing_claims_at_wegmans_following_cos_2017_8ff7a0_1911,assessable_claim,"This is a self-contained advertising claim. 'Don’t shop around town…shop at Wegmans and save' makes a clear, comparative claim about saving money at Wegmans, which is assessable.",Don’t shop around town…shop at Wegmans and save
harv_ev_dssrc_zilis_health_claims_2022_0d01ee_3392,assessable_claim,"This is a self-contained advertising claim, presented as a testimonial. The statement 'Zilis CBD has helped me so much in my daily life with stress and bad, dreary moods' makes specific, assessable claims about the product's effects on anxiety and mood.","Every day I see at least one post in my news feed about someone dealing with anxiety. Zilis CBD has helped me so much in my daily life with stress and bad, dreary moods"
harv_ev_nad_nad_recommends_reckitt_benckiser_discontinue_certain_2019_0993b6_0491,fragment,"This is a fragment. 'Upgrade to Air Wick' is an imperative, but it doesn't state what the 'upgrade' entails or what benefits it offers. It's an instruction without a clear claim about the product itself.",Upgrade to Air Wick
harv_ev_ftc_intuit_turbotax_free_2022_0279,assessable_claim,"This is a self-contained advertising claim. 'Join the millions who file for $0' makes a specific, quantifiable claim about the cost of filing, which is assessable.",Join the millions who file for $0
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0079,not_a_claim,"This is a product name or description, not an advertising claim about its performance or benefits.",Pacific Coast Textiles 6-pack Bamboo Towel Set
harv_ev_nad_smile_prep_claims_disclosures_2022_2f4221_3032,fragment,The phrase 'results in as few as four months for some customers' is incomplete without knowing what 'results' refers to. It's a fragment of a larger claim.,results in as few as four months for some customers
harv_ev_nad_nad_recommends_p_g_discontinue_comparative_claim_in__2011_6a1645_2110,fragment,"This is a slogan or tagline, but it's too vague to be an assessable claim on its own. 'Get More. Feel More' requires context to understand what is being gotten or felt more of.",Get More. Feel More
harv_ev_nad_nad_examines_advertising_for_d_artagnan_s_artisan_fo_2009_0fd51d_1766,assessable_claim,"This is a self-contained claim about how animals are raised, implying a certain quality or ethical standard that could be substantiated.",hand-raised with tender care under the strictest of animal care standards
harv_ev_ftc_intuit_turbotax_free_2022_0261,assessable_claim,"This is a clear, self-contained claim offering a 'FREE final expert review,' which can be assessed for truthfulness and any hidden conditions.","Plus, get a FREE final expert review"
harv_ev_ftc_omics_deceptive_publishing_2019_0110,not_a_claim,"This appears to be a company name and a description of its business, not an advertising claim about the benefits or features of its services.",iMedPub LTD Peer Reviewed Open Access Journals & Articles Publishing Company
harv_ev_nad_klf_international_says_it_will_discontinue_claims_fo_2016_b3cc26_0101,assessable_claim,"This is a specific, quantifiable claim about weight loss ('Drop up to three dress sizes in a week') that can be substantiated or disproven.",Drop up to three dress sizes in a week
harv_ev_nad_nad_advantice_health_claims_2020_8ab86a_3093,fragment,"The phrase 'new & improved dosing directions' is a fragment. It implies an improvement but doesn't state what is new or improved about the directions, or what product they are for.",new & improved dosing directions
harv_ev_nad_nad_refers_advertising_for_ba_sports_nutrition_s_bod_2017_9c9085_0041,assessable_claim,"This is a clear call to action ('Ditch artificial Sports Drinks') followed by specific reasons ('artificial flavors, artificial sweeteners, artificial colors'), making it an assessable claim about the product's composition and a comparison to competitors.","Ditch artificial Sports Drinks: artificial flavors, artificial sweeteners, artificial colors"
harv_ev_nad_3m_challenges_advertising_for_s_c_johnson_s_pledge_f_2009_8149a3_1807,assessable_claim,"This is a direct, quantifiable comparative claim ('Each one of these rollers is equal to 185 of those sticky roller sheets') that can be substantiated.",Each one of these rollers is equal to 185 of those sticky roller sheets
harv_ev_nad_nad_recommends_shark_discontinue_preference_claims_f_2017_87de5d_0474,fragment,"The phrase 'America preferred … Shark' is a fragment. It's missing what America preferred Shark *for* or *over*, making it incomplete as a standalone claim.",America preferred … Shark
harv_ev_nad_nad_recommends_american_dryer_discontinue_claims_cha_2016_f4f36c_0082,assessable_claim,This is a superlative claim ('ExtremeAir CPC is the most hygienic method of hand drying ever!') that can be assessed for substantiation.,ExtremeAir CPC is the most hygienic method of hand drying ever!
harv_ev_nad_supragenix_discontinues_certain_advertising_claims_f_2013_ac00f3_0109,assessable_claim,"This is a clear, self-contained claim about the physiological effects of a product ('stimulates appetite and slows metabolism') that can be substantiated.",stimulates appetite and slows metabolism
harv_ev_nad_cox_internet_speed_2025_da0876_3562,assessable_claim,This is a specific claim about internet speed availability ('Multi Gig Speeds Everywhere') that can be assessed for truthfulness and coverage.,Multi Gig Speeds Everywhere
harv_ev_nad_nad_recommends_cystex_modify_advertising_to_better_d_2011_118d1a_2199,assessable_claim,"This is a clear, self-contained claim about the benefits of a product ('Cystex Helps Manage UTIs . . . and Now Promotes Urinary Health!') that can be substantiated.",Cystex Helps Manage UTIs . . . and Now Promotes Urinary Health!
harv_ev_ftc_hrblock_free_filing_2024_0424,assessable_claim,"This is a clear, self-contained claim offering a service for free ('Simple returns file free') that can be assessed for truthfulness and any hidden conditions.",Simple returns file free
harv_ev_nad_nad_recommends_alcon_laboratories_discontinue_certai_2017_21a35e_0435,fragment,The phrase 'more like natural tears' is a fragment. It's a comparative claim but is missing what is 'more like natural tears' and what it is being compared to.,more like natural tears
harv_ev_nad_nad_finds_vitanergy_can_support_certain_ingredient_b_2012_9d8bae_1981,assessable_claim,"This is a clear, self-contained claim about the health benefits of a product ('helping alleviate symptoms associated with an enlarged prostate') that can be substantiated.",helping alleviate symptoms associated with an enlarged prostate
harv_ev_nad_nad_recommends_lg_discontinue_ultimate_picture_quali_2018_2fd600_2088,assessable_claim,This is a self-contained claim about a product's performance and superiority ('Infinite Contrast. Perfect black is only attainable on an LG OLED TV') that can be substantiated.,Infinite Contrast. Perfect black is only attainable on an LG OLED TV
harv_ev_nad_prestige_brands_halts_certain_comparative_claims_for_2013_53faed_0166,assessable_claim,"This is a clear, self-contained claim about the effectiveness of a product ('Get your dentures crystal clean') that can be assessed for substantiation.",Get your dentures crystal clean
harv_ev_nad_genexa_otc_kids_pain_fever_2022_85e880_3018,not_a_claim,"This phrase ('food that makes you hungry') is a descriptive statement that could be part of a claim, but on its own, it's not an advertising claim about a specific product or its benefits. It sounds more like a general observation or a definition.",food that makes you hungry
harv_ev_nad_nad_recommends_philips_discontinue_certain_claims_fo_2011_0fd009_0125,fragment,The phrase 'design available in toothbrushing' is a fragment. It's incomplete and doesn't make a specific claim about a product's design or its benefits.,design available in toothbrushing
harv_ev_nad_nad_recommends_church_and_dwight_discontinue_2x_4x_c_2013_086d40_2618,assessable_claim,"This is a clear, self-contained claim about the concentration of a product ('Ultra Power 4X Concentrated') that can be assessed for truthfulness.",Ultra Power 4X Concentrated
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0070,not_a_claim,"This is a product name or description, not an advertising claim about its performance or benefits.",Park B. Smith Ultra Spa Luxury Bamboo Solid Bath Rug
harv_ev_nad_nad_examines_advertising_for_park_labs_reparagen_2008_728e76_2337,assessable_claim,"This is a clear, self-contained claim about the comprehensive health benefits of a product ('works on a holistic level for all aspects of joint health, including muscles, bones, tendons, and ligaments') that can be substantiated.","works on a holistic level for all aspects of joint health, including muscles, bones, tendons, and ligaments"
